Title,VOD Service Name,Rating
Nimona,netflix,7.35
Fenomen,netflix,7.29
Zaopiekujcie się Mayą,netflix,7.08
Bill Russell: Legenda NBA,netflix,7.04
Wham!,netflix,6.93
Jesteśmy idealni,netflix,6.79
Stan Lee,disney,6.76
"Na planie serialu ""The Last of Us""",hbo_max,6.70
Ślicznotka: Historia Brooke Shields,disney,6.69
Głodni,netflix,6.63
Magiczna słonica,netflix,6.62
Siła ducha,netflix,6.59
Black Clover: Mahō Tei no Ken,netflix,6.50
Dusiciel z Bostonu,disney,6.22
Ulica Rye Lane,disney,6.20
Flamin' Hot: Smak sukcesu,disney,6.17
Martwe zło: Przebudzenie,hbo_max,6.02
Misja: Bal,disney,6.00
Mumie,hbo_max,5.88
Najlepszy rzut Changa,disney,5.67
Ant-Man i Osa: Kwantomania,disney,5.57
Shazam! Gniew bogów,hbo_max,5.55
Biali nie potrafią skakać,disney,5.38
Klub zabójców,canal_plus_manual,5.08
Magic Mike: Ostatni taniec,hbo_max,4.93
Quasi,disney,4.91
Domówka,hbo_max,4.25
Zabójca,canal_plus_manual,4.04
